Region,n,CER (Baseline),CER (Model8),ΔCER,Hall. (Baseline),Hall. (Model8),ΔHall.,Pred/GT (Baseline),Pred/GT (Model8),ΔPred/GT,Failure (Baseline),Failure (Model8)
Jeju,76,8.176,10.122,1.946,0.105,0.0,-0.105,9.85,1.09,-8.76,Repetition,Substitution
Metropolitan,2081,2.523,9.998,7.475,0.056,0.0,-0.056,3.47,1.05,-2.42,Insertion,Substitution
Jeolla,540,2.135,13.763,11.628,0.05,0.002,-0.048,3.01,1.05,-1.96,Insertion,Substitution
Chungcheong,450,1.756,8.896,7.14,0.06,0.002,-0.058,2.44,1.03,-1.41,Insertion,Substitution
Gyeongsang,966,1.113,7.898,6.785,0.036,0.003,-0.033,2.1,1.04,-1.06,Insertion,Substitution
Gangwon,131,0.366,6.829,6.463,0.023,0.0,-0.023,1.14,1.03,-0.11,Insertion,Substitution
